,Date,AirPressure_22m_hPa,AccumulatedPrecipitation_mm,WindSpeed_22m_ms,WindSpeed_16.3m_ms,WindSpeed_12.3m_ms,WindSpeed_2.3m_ms,WindDirection_22m_deg,AirHumidity_22m_percent,AirHumidity_16.3m_percent,AirHumidity_12.3m_percent,AirHumidity_8.1m_percent,AirHumidity_2.3m_percent,AirHumidity_0.9m_percent,AirTemperature_22m_degC,AirTemperature_16.3m_degC,AirTemperature_12.3m_degC,AirTemperature_8.1m_degC,AirTemperature_2.3m_degC,AirTemperature_0.9m_degC,VPD_22m_hPa,VPD_16.3m_hPa,VPD_12.3m_hPa,VPD_8.1m_hPa,VPD_2.3m_hPa,VPD_0.9m_hPa,PAR_incoming_22m_umol_m2_s1,PAR_reflected_22m_umol_m2_s1,ShortWaveRadiation_incoming_22m_Wm2,ShortWaveRadiation_reflected_22m_Wm2,LongWaveRadiation_downwelling_22m_Wm2,LongWaveRadiation_upwelling_22m_Wm2,GlobalRadiation_22m_Wm2,DiffuseRadiation_22m_Wm2,Fraction_of_DiffuseRadiation,SunshineDuration_minutes_per_12hours,SoilTemperature_30cm_degC,SoilTemperature_60cm_degC,SoilTemperature_100cm_degC,SoilMoisture_30cm_percent,SoilMoisture_60cm_percent,SoilMoisture_100cm_percent,NEE_umol_m2_s1,LatentHeatFlux_Wm2,SensibleHeatFlux_Wm2,GroundHeatFlux_Wm2,CO2_concentration,Year,Month,Day,season,ET_ET_pot
1,03/03/2014,1004.225758,NA,1.098363636,0.949742424,0.6055,0.178030303,207.330303,91.61969697,93.42878788,93.20454545,95.1969697,91.96666667,92.31060606,24.21212121,24.22121212,23.96818182,23.99393939,24.22727273,24.34848485,2.724078833,2.186192728,2.217883062,1.605985586,2.583671097,2.491706044,0.032893939,0,0,NA,-17.28856061,NA,0,0,1,NA,27.94777778,27.52944445,27.10055555,23.46222222,25.78888889,27.89055556,NA,NA,NA,NA,NA,2014,3,3,pre_drought_non_enzo,NA
2,04/03/2014,1004.566667,NA,1.287409091,1.040318182,0.576257576,0.025893939,116.6893939,89.00757576,91.61515151,93.05454545,96.10454545,93.93181818,94.31818182,24.88484849,24.67424242,24.03636364,23.72121212,23.78636364,23.89393939,3.583427822,2.726166173,2.2130809,1.256402799,1.879454031,1.771853911,0.047757576,0,0,NA,-35.4205303,NA,0,0,1,NA,27.43686869,27.31767677,27.12474747,23.47929293,25.74747475,27.81969697,NA,NA,NA,NA,NA,2014,3,4,pre_drought_non_enzo,NA
3,05/03/2014,1003.577273,NA,1.32469697,1.033939394,0.590727273,0.057333333,76.10151515,91.58030303,94.13333333,95.19393939,98.1469697,95.59393939,95.90909091,24.37575758,24.15909091,23.56969697,23.18484848,23.34090909,23.46363636,2.693723016,1.881838591,1.500008878,0.588693799,1.324342692,1.242029202,0.035651515,0,0,NA,-41.51501515,NA,0,0,1,NA,27.31798942,27.16878307,27.12063492,23.46719577,25.75185185,27.7994709,NA,NA,NA,NA,NA,2014,3,5,pre_drought_non_enzo,NA
4,06/03/2014,1003.689394,NA,1.207924242,0.978136364,0.555984848,0.071106061,141.3636364,87.43333333,90.22727273,92.46666667,95.63484848,92.84242424,93.22272727,24.47878788,24.25454545,23.5469697,23.19848485,23.37727273,23.49545455,4.004987213,3.120974786,2.393154356,1.442836852,2.254522979,2.149066139,0.057,0,0,NA,-39.85030303,NA,0,0,1,NA,27.37222222,27.18333334,27.1030303,23.47626263,25.7520202,27.78131313,NA,NA,NA,NA,NA,2014,3,6,pre_drought_non_enzo,NA
5,07/03/2014,1004.275758,NA,1.234484849,1.016363636,0.573015151,0.101984848,187.8818182,85.02424243,87.58333333,90.24393939,94.19090909,91.78939394,92.26515152,25.32878788,25.10909091,24.29242424,23.86363636,23.9469697,24.05151515,5.039511417,4.188116593,3.250085732,2.01567197,2.680627679,2.540161495,0.035545455,0,0,NA,-36.6880303,NA,0,0,1,NA,27.36515151,27.15606061,27.06464647,23.46969697,25.7489899,27.76515152,NA,NA,NA,NA,NA,2014,3,7,pre_drought_non_enzo,NA
6,08/03/2014,1003.872727,NA,1.447136364,1.1625,0.722287879,0.099363636,73.53636364,89.86969697,91.54242424,91.42727273,91.54090909,88.32424242,89.16969697,25.27727273,25.21515152,24.85454545,24.73636364,25.18030303,25.26212121,3.500492862,2.965581275,2.949638876,2.8865669,3.963101167,3.69628158,0.025818182,0,0,NA,-29.14618182,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,3,8,pre_drought_non_enzo,NA
7,09/03/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,3,9,pre_drought_non_enzo,NA
8,10/03/2014,1004.107576,NA,1.537545455,1.25530303,0.753181818,0.066287879,115.6818182,90.48333333,92.63484848,92.98030303,95.35909091,92.59545455,93.07424242,24.49090909,24.35454545,23.94090909,23.74545455,23.90454545,24.01212121,3.090437056,2.419332557,2.264492555,1.528505549,2.347787172,2.211668163,0.035212121,0,0,NA,-36.33484848,NA,0,0,1,NA,27.30808081,27.14242424,27.02474748,23.48030303,25.70707071,27.67424242,NA,NA,NA,NA,NA,2014,3,10,pre_drought_non_enzo,NA
9,11/03/2014,1004.12,NA,1.309633333,1.0644,0.609716667,0.093183333,196.885,79.88,82.425,84.68166667,89.53166667,87.84,88.47,25.60333333,25.33333333,24.63,24.14333333,24.15166667,24.22833333,6.790322432,5.882503755,4.985815848,3.410724162,3.861186072,3.669724484,0.0341,0,0,NA,-33.35966667,NA,0,0,1,NA,27.40722222,27.225,27.08666667,23.455,25.68944444,27.64833333,NA,NA,NA,NA,NA,2014,3,11,pre_drought_non_enzo,NA
10,12/03/2014,1003.469697,NA,0.96730303,0.760227273,0.40830303,0.096090909,137.8939394,89.44242424,92.69090909,94.9969697,98.74393939,96.83030303,97.13636364,24.85909091,24.58484848,23.87121212,23.38787879,23.50151515,23.62424242,3.36686547,2.311461556,1.527836167,0.389670203,0.940290846,0.856900468,0.023939394,0,0.017590909,NA,-28.4790303,NA,0,0,1,NA,27.41363636,27.21262626,27.09545454,23.43131313,25.66666667,27.60252525,NA,NA,NA,NA,NA,2014,3,12,pre_drought_non_enzo,NA
